"Distance Threshold","Start Time Threshold","Weekday Choice","Rolling Window Length","Frequency Requirement","% of Total Costs","% of Unique Drivers","% of Total Trips","% of Total Kilometers","% of Total Trip Time","Std of Start Time","Std of End Time","Std of Duration","Std of Peak Time","Std of Price","Std of Distance","Std of No. of Segments","Avg % Trips Taking Modal Route","Avg % of All Trips in Bin"
"40%","2.5 Hours","Across","8 Weeks","3/8",62,94,52,48,47,0.4876,0.5086,0.1212,0.143,2.2038,1.4417,0.761,67.49,52.62
"20%","1 Hour","Within","6 Weeks","2/8",60,98,51,48,46,0.3011,0.3236,0.0982,0.1036,1.4021,1.0311,0.5852,73.02,47.41
"50%","2.5 Hours","Across","8 Weeks","3/8",63,94,53,49,48,0.4939,0.5154,0.1249,0.1451,2.2231,1.5403,0.7791,67.08,53.35
"10%","1 Hour","Within","8 Weeks","3/8",40,83,31,30,28,0.2331,0.2551,0.0867,0.0975,1.3239,0.6463,0.5441,72.58,42.74
"20%","1 Hour","Within","8 Weeks","3/8",44,85,34,33,31,0.2422,0.2656,0.0942,0.1033,1.4133,0.8775,0.5926,71.25,46
"30%","1 Hour","Within","8 Weeks","3/8",45,86,36,34,32,0.247,0.2716,0.0991,0.1067,1.4608,1.0233,0.6214,70.53,47.41
"40%","1 Hour","Within","8 Weeks","3/8",46,86,37,34,33,0.25,0.2754,0.1024,0.109,1.495,1.1252,0.6389,70.09,48.26
"50%","1 Hour","Within","8 Weeks","3/8",47,86,37,35,34,0.252,0.2778,0.1049,0.1107,1.5214,1.1991,0.6504,69.83,48.79
"10%","1.5 Hours","Within","8 Weeks","3/8",41,84,32,32,29,0.2787,0.2993,0.0887,0.1063,1.5342,0.6644,0.5535,72.29,44.02
"20%","1.5 Hours","Within","8 Weeks","3/8",46,86,36,34,32,0.2923,0.3143,0.0968,0.1129,1.6337,0.9051,0.6033,70.92,47.62
"30%","1.5 Hours","Within","8 Weeks","3/8",47,86,38,36,34,0.2992,0.322,0.1017,0.1166,1.6848,1.0544,0.6323,70.19,49.24
"40%","1.5 Hours","Within","8 Weeks","3/8",48,87,39,36,35,0.3037,0.3272,0.1052,0.1191,1.721,1.1593,0.6501,69.76,50.17
"30%","1 Hour","Within","6 Weeks","2/8",62,98,52,49,47,0.3082,0.3323,0.1041,0.1068,1.4441,1.1937,0.6155,72.32,49.05
"50%","1.5 Hours","Within","8 Weeks","3/8",49,87,39,36,35,0.3068,0.3306,0.1078,0.121,1.7485,1.2371,0.6624,69.47,50.79
"10%","2 Hours","Within","8 Weeks","3/8",42,84,33,32,30,0.309,0.3289,0.0897,0.1114,1.6617,0.6718,0.5573,72.17,44.61
"20%","2 Hours","Within","8 Weeks","3/8",46,86,37,35,33,0.3259,0.347,0.0979,0.1186,1.7705,0.9181,0.6078,70.78,48.36
"30%","2 Hours","Within","8 Weeks","3/8",48,87,38,36,35,0.3345,0.3564,0.103,0.1224,1.8231,1.0693,0.6373,70.04,50.05
"40%","2 Hours","Within","8 Weeks","3/8",49,87,39,37,35,0.3401,0.3625,0.1066,0.1252,1.8597,1.1757,0.6558,69.6,51.05
"50%","2 Hours","Within","8 Weeks","3/8",50,87,40,37,36,0.3441,0.3668,0.1093,0.1271,1.8885,1.2558,0.6686,69.3,51.71
"10%","2.5 Hours","Within","8 Weeks","3/8",42,84,33,33,30,0.3305,0.3498,0.0902,0.1144,1.7386,0.6752,0.559,72.12,44.92
"20%","2.5 Hours","Within","8 Weeks","3/8",47,86,37,35,33,0.3498,0.3703,0.0985,0.1218,1.8523,0.9234,0.6099,70.72,48.74
"30%","2.5 Hours","Within","8 Weeks","3/8",48,87,39,37,35,0.3596,0.3808,0.1036,0.1258,1.9079,1.0771,0.6402,69.96,50.48
"40%","2.5 Hours","Within","8 Weeks","3/8",49,87,40,37,36,0.3661,0.3878,0.1073,0.1286,1.9446,1.1841,0.6589,69.52,51.5
"40%","1 Hour","Within","6 Weeks","2/8",63,98,53,49,48,0.3127,0.3383,0.1088,0.1091,1.4743,1.3208,0.6365,71.86,50.01
"50%","2.5 Hours","Within","8 Weeks","3/8",50,88,40,38,36,0.3707,0.3927,0.11,0.1306,1.9736,1.264,0.672,69.22,52.18
"10%","1 Hour","Across","10 Weeks","3/8",50,92,40,39,36,0.291,0.3134,0.0975,0.1041,1.4729,0.837,0.6328,70.72,47.1
"20%","1 Hour","Across","10 Weeks","3/8",55,93,45,43,40,0.3029,0.3282,0.1068,0.1091,1.5438,1.1099,0.691,69.2,51.27
"30%","1 Hour","Across","10 Weeks","3/8",57,94,47,44,42,0.3087,0.336,0.1125,0.1121,1.5803,1.2726,0.7253,68.38,53.08
"40%","1 Hour","Across","10 Weeks","3/8",59,94,48,45,43,0.3128,0.3412,0.1169,0.114,1.6032,1.3904,0.7484,67.85,54.09
"50%","1 Hour","Across","10 Weeks","3/8",59,94,49,45,44,0.3154,0.3452,0.1207,0.1156,1.6218,1.4917,0.7667,67.44,54.76
